"TOA5","CR1000","CR1000","93112","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","GP_CO2Conc","GP_CO2HiConc","GP_Temp"
"TS","RN","Volts","Deg C","ppm CO2","ppm CO2","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2021-09-15 15:00:00",0,12.98,30.84,2441.94,2458.9,30.834
"2021-09-15 15:30:00",1,12.95,31.05,2847.73,2898.46,31.904
"2021-09-15 16:00:00",2,12.94,30.64,3184.61,3258.7,31.954
"2021-09-15 16:30:00",3,12.93,30.43,4508.59,4614.58,31.967
"2021-09-15 17:00:00",4,12.93,29.99,5825.78,5843.67,31.712
"2021-09-15 17:30:00",5,12.93,29.62,5316.58,5383.98,31.762
"2021-09-15 18:00:00",6,12.92,29.22,5029.05,5115.61,31.573
"2021-09-15 18:30:00",7,12.92,28.89,5284.12,5353.91,31.5
"2021-09-15 19:00:00",8,12.92,28.43,5510.01,5560.79,31.301
"2021-09-15 19:30:00",9,12.92,27.82,5689.59,5722.46,31.059
"2021-09-15 20:00:00",10,12.91,27.21,5498.67,5550.38,30.796
"2021-09-15 20:30:00",11,12.91,26.65,5638.45,5676.56,30.561
"2021-09-15 21:00:00",12,12.9,26.16,5636.46,5674.75,30.342
"2021-09-15 21:30:00",13,12.9,25.73,5557.45,5603.54,30.153
"2021-09-15 22:00:00",14,12.9,25.43,5605.61,5646.97,30.002
"2021-09-15 22:30:00",15,12.89,25.22,5668.84,5703.74,29.862
"2021-09-15 23:00:00",16,12.89,25.01,5755.54,5781.07,29.752
"2021-09-15 23:30:00",17,12.89,24.89,5948.42,5951.02,29.657
"2021-09-16 00:00:00",18,12.89,24.78,6146.14,6122.23,29.557
"2021-09-16 00:30:00",19,12.88,24.63,6406.71,6343.19,29.462
"2021-09-16 01:00:00",20,12.88,24.51,6626.66,6525.57,29.386
"2021-09-16 01:30:00",21,12.89,24.48,6789.66,6658.27,29.31
"2021-09-16 02:00:00",22,12.88,24.48,6952.01,6788.37,29.26
"2021-09-16 02:30:00",23,12.87,24.48,7052.54,6867.9,29.217
"2021-09-16 03:00:00",24,12.87,24.48,7108.16,6911.57,29.161
"2021-09-16 03:30:00",25,12.87,24.33,7186.34,6972.56,29.082
"2021-09-16 04:00:00",26,12.88,24.19,7219.47,6998.27,29.002
"2021-09-16 04:30:00",27,12.86,24.01,7215.35,6995.1,28.923
"2021-09-16 05:00:00",28,12.86,23.87,7235.58,7010.78,28.857
"2021-09-16 05:30:00",29,12.86,23.81,7183.16,6970.18,28.804
"2021-09-16 06:00:00",30,12.87,23.75,7129.8,6928.62,28.747
"2021-09-16 06:30:00",31,12.86,23.64,7068.14,6880.33,28.692
"2021-09-16 07:00:00",32,12.86,23.55,6999.81,6826.48,28.633
"2021-09-16 07:30:00",33,12.86,23.47,6945.97,6783.78,28.589
"2021-09-16 08:00:00",34,12.86,23.47,6879.53,6730.76,28.557
"2021-09-16 08:30:00",35,12.85,23.58,6857.85,6713.37,28.566
"2021-09-16 09:00:00",36,12.85,23.9,6701.09,6586.59,28.637
"2021-09-16 09:30:00",37,12.85,24.54,6427.12,6360.41,28.782
"2021-09-16 10:00:00",38,12.85,24.98,6023.75,6016.71,28.862
"2021-09-16 10:30:00",39,12.85,25.49,5798.55,5819.26,29.002
"2021-09-16 11:00:00",40,12.85,26.13,6435.72,6367.51,29.174
"2021-09-16 11:30:00",41,12.85,26.62,7805.35,7438.35,29.357
"2021-09-16 12:00:00",42,12.85,27.15,9894.53,8799.19,29.55
"2021-09-16 12:30:00",43,12.85,27.75,-0,9749.85,29.847
"2021-09-16 13:00:00",44,12.85,28.1,-0,10282.31,30.013
"2021-09-16 13:30:00",45,12.85,28.66,-0,10182.96,30.381
"2021-09-16 14:00:00",46,12.85,28.72,-0,9936.74,30.525
"2021-09-16 14:30:00",47,12.85,28.89,-0,9608.02,30.885
"2021-09-16 15:00:00",48,12.85,28.79,-0,9112.04,30.99
"2021-09-16 15:30:00",49,12.85,28.4,-0,9077.39,30.979
"2021-09-16 16:00:00",50,12.85,28.04,-0,8986.4,31.001
"2021-09-16 16:30:00",51,12.85,27.69,-0,9041.63,30.956
"2021-09-16 17:00:00",52,12.84,27.4,9605.43,8629.1,30.899
"2021-09-16 17:30:00",53,12.84,27.12,9017.81,8266.29,30.791
"2021-09-16 18:00:00",54,12.85,26.72,8279.72,7775.25,30.637
"2021-09-16 18:30:00",55,12.84,26.19,7643.75,7319.44,30.413
"2021-09-16 19:00:00",56,12.84,25.58,7384.6,7124.8,30.181
"2021-09-16 19:30:00",57,12.84,24.98,7217.88,6996.85,29.974
"2021-09-16 20:00:00",58,12.84,24.48,7011.27,6835.26,29.809
"2021-09-16 20:30:00",59,12.84,24.16,6881.33,6731.94,29.671
"2021-09-16 21:00:00",60,12.83,23.96,6789.16,6657.83,29.556
"2021-09-16 21:30:00",61,12.83,23.84,6772.83,6644.64,29.45
"2021-09-16 22:00:00",62,12.84,23.72,6806.86,6672.15,29.351
"2021-09-16 22:30:00",63,12.83,23.58,6899.47,6746.5,29.24
"2021-09-16 23:00:00",64,12.83,23.44,7085.59,6893.89,29.141
"2021-09-16 23:30:00",65,12.83,23.35,7288.19,7051.27,29.048
"2021-09-17 00:00:00",66,12.82,23.27,7441.33,7168.1,28.986
"2021-09-17 00:30:00",67,12.83,23.21,7587.83,7278.18,28.914
"2021-09-17 01:00:00",68,12.83,23.12,7740.14,7390.85,28.853
"2021-09-17 01:30:00",69,12.82,23.1,7858.6,7477.28,28.795
"2021-09-17 02:00:00",70,12.82,23.04,7885.33,7496.65,28.746
"2021-09-17 02:30:00",71,12.83,23.04,7940.47,7536.41,28.692
"2021-09-17 03:00:00",72,12.83,22.98,7989.82,7571.8,28.643
"2021-09-17 03:30:00",73,12.82,22.95,8013.63,7588.82,28.589
"2021-09-17 04:00:00",74,12.82,22.9,8090.12,7643.17,28.537
"2021-09-17 04:30:00",75,12.82,22.81,8295.36,7786.76,28.471
"2021-09-17 05:00:00",76,12.82,22.75,8421.82,7873.69,28.42
"2021-09-17 05:30:00",77,12.82,22.7,8611.15,8001.57,28.379
"2021-09-17 06:00:00",78,12.82,22.7,8729.41,8080.12,28.338
"2021-09-17 06:30:00",79,12.82,22.67,8881.23,8179.46,28.294
"2021-09-17 07:00:00",80,12.82,22.64,8900.28,8191.84,28.255
"2021-09-17 07:30:00",81,12.81,22.61,8999.17,8255.53,28.209
"2021-09-17 08:00:00",82,12.81,22.64,9046.26,8285.6,28.198
"2021-09-17 08:30:00",83,12.82,22.73,9080.08,8307.1,28.199
"2021-09-17 09:00:00",84,12.82,22.92,9106.37,8323.69,28.253
"2021-09-17 09:30:00",85,12.81,23.21,9290.74,8438.99,28.341
"2021-09-17 10:00:00",86,12.81,23.44,9592.4,8622.55,28.396
"2021-09-17 10:30:00",87,12.82,23.64,-0,8868.5,28.459
"2021-09-17 11:00:00",88,12.82,23.93,-0,9203.82,28.525
"2021-09-17 11:30:00",89,12.81,24.19,-0,9770.92,28.587
"2021-09-17 12:00:00",90,12.81,24.39,-0,10014.7,28.698
"2021-09-17 12:30:00",91,12.8,24.92,-0,10350.05,28.888
"2021-09-17 13:00:00",92,12.81,25.25,-0,10593.18,28.988
"2021-09-17 13:30:00",93,12.81,25.37,-0,10810.41,29.08
"2021-09-17 14:00:00",94,12.81,25.58,-0,11156.56,29.217
"2021-09-17 14:30:00",95,12.8,25.52,-0,11171.1,29.326
"2021-09-17 15:00:00",96,12.81,25.73,-0,11117.95,29.482
"2021-09-17 15:30:00",97,12.81,26.04,-0,10715.46,29.618
"2021-09-17 16:00:00",98,12.81,26.13,-0,10316.96,29.677
"2021-09-17 16:30:00",99,12.8,26.16,-0,9918.84,29.783
"2021-09-17 17:00:00",100,12.81,26.01,-0,9587.95,29.821
"2021-09-17 17:30:00",101,12.81,25.73,-0,9210.51,29.794
"2021-09-17 18:00:00",102,12.8,25.46,9899.55,8801.97,29.77
"2021-09-17 18:30:00",103,12.8,25.19,9187.91,8374.07,29.686
"2021-09-17 19:00:00",104,12.81,24.81,8589.03,7986.14,29.521
"2021-09-17 19:30:00",105,12.81,24.36,8280.08,7775.76,29.319
"2021-09-17 20:00:00",106,12.8,23.93,8343.16,7819.36,29.153
"2021-09-17 20:30:00",107,12.8,23.52,8650.39,8027.34,28.998
"2021-09-17 21:00:00",108,12.8,23.21,8954.78,8226.54,28.86
"2021-09-17 21:30:00",109,12.8,22.9,9229.37,8400.53,28.733
"2021-09-17 22:00:00",110,12.8,22.67,9443.71,8532.64,28.621
"2021-09-17 22:30:00",111,12.8,22.47,9597.36,8625.4,28.51
"2021-09-17 23:00:00",112,12.8,22.28,9783.62,8735.64,28.412
"2021-09-17 23:30:00",113,12.8,22.11,9899.94,8803.3,28.33
"2021-09-18 00:00:00",114,12.8,21.92,9965.43,8841.07,28.22
"2021-09-18 00:30:00",115,12.79,21.72,9987.35,8853.69,28.143
"2021-09-18 01:00:00",116,12.79,21.56,9952.75,8833.98,28.057
"2021-09-18 01:30:00",117,12.8,21.45,9931.91,8822.08,27.992
"2021-09-18 02:00:00",118,12.8,21.48,-0,8885.48,27.954
"2021-09-18 02:30:00",119,12.79,21.51,-0,8930.09,27.913
"2021-09-18 03:00:00",120,12.79,21.51,-0,8940.75,27.852
"2021-09-18 03:30:00",121,12.79,21.4,-0,8936.25,27.772
"2021-09-18 04:00:00",122,12.79,21.26,-0,8994.16,27.705
"2021-09-18 04:30:00",123,12.79,21.18,-0,8999.48,27.646
"2021-09-18 05:00:00",124,12.79,21.07,-0,9073.35,27.582
"2021-09-18 05:30:00",125,12.79,21.02,-0,9159.59,27.537
"2021-09-18 06:00:00",126,12.79,20.99,-0,9237.42,27.488
"2021-09-18 06:30:00",127,12.78,20.93,-0,9330.21,27.438
"2021-09-18 07:00:00",128,12.78,20.85,-0,9429.2,27.381
"2021-09-18 07:30:00",129,12.79,20.8,-0,9515.97,27.336
"2021-09-18 08:00:00",130,12.79,20.85,-0,9782.69,27.319
"2021-09-18 08:30:00",131,12.78,20.99,-0,10460.55,27.323
"2021-09-18 09:00:00",132,12.78,21.26,-0,11047.57,27.372
"2021-09-18 09:30:00",133,12.79,21.84,-0,11361.91,27.499
"2021-09-18 10:00:00",134,12.79,22.33,-0,11298.86,27.573
"2021-09-18 10:30:00",135,12.79,22.84,-0,11005.71,27.718
"2021-09-18 11:00:00",136,12.78,23.44,-0,10598.55,27.894
"2021-09-18 11:30:00",137,12.78,23.99,-0,10110.76,28.209
"2021-09-18 12:00:00",138,12.79,24.42,-0,9369.68,28.472
"2021-09-18 12:30:00",139,12.79,24.72,9731.62,8704.77,28.808
"2021-09-18 13:00:00",140,12.78,25.22,8908.01,8196.21,29.151
"2021-09-18 13:30:00",141,12.78,25.85,8383.05,7846.65,29.406
"2021-09-18 14:00:00",142,12.79,26.74,7955.49,7546.81,29.669
"2021-09-18 14:30:00",143,12.79,26.87,7342.3,7092.55,29.995
"2021-09-18 15:00:00",144,12.78,26.78,6736.61,6615.25,30.207
"2021-09-18 15:30:00",145,12.79,26.72,5717.43,5747.18,30.418
"2021-09-18 16:00:00",146,12.79,27,5233.43,5306.71,30.629
"2021-09-18 16:30:00",147,12.79,27,5347.39,5412.05,30.67
"2021-09-18 17:00:00",148,12.79,26.72,5739.63,5767.01,30.657
"2021-09-18 17:30:00",149,12.79,26.41,6096.66,6079.72,30.573
"2021-09-18 18:00:00",150,12.79,26.1,6456.03,6384.42,30.462
"2021-09-18 18:30:00",151,12.79,25.73,6126.75,6105.59,30.305
"2021-09-18 19:00:00",152,12.79,25.37,5889.26,5899.21,30.109
"2021-09-18 19:30:00",153,12.79,24.98,5988.44,5985.93,29.894
"2021-09-18 20:00:00",154,12.79,24.54,6261.3,6220.52,29.678
"2021-09-18 20:30:00",155,12.79,24.16,6504.4,6424.67,29.486
"2021-09-18 21:00:00",156,12.78,23.81,7251.23,7022.73,29.304
"2021-09-18 21:30:00",157,12.78,23.5,7281.53,7046.12,29.141
"2021-09-18 22:00:00",158,12.79,23.21,7304.73,7063.99,28.994
"2021-09-18 22:30:00",159,12.79,22.92,7308.23,7066.72,28.857
"2021-09-18 23:00:00",160,12.78,22.7,7386.56,7126.63,28.72
"2021-09-18 23:30:00",161,12.78,22.47,7398.6,7135.84,28.598
"2021-09-19 00:00:00",162,12.78,22.25,7430.14,7159.84,28.478
"2021-09-19 00:30:00",163,12.78,22.08,7454.76,7178.54,28.369
"2021-09-19 01:00:00",164,12.78,21.92,7603.87,7290.44,28.273
"2021-09-19 01:30:00",165,12.78,21.75,7748.78,7397.56,28.177
"2021-09-19 02:00:00",166,12.78,21.62,7896.17,7504.86,28.081
"2021-09-19 02:30:00",167,12.78,21.48,8069.48,7628.93,27.993
"2021-09-19 03:00:00",168,12.78,21.31,8157.31,7690.96,27.902
"2021-09-19 03:30:00",169,12.77,21.21,8294.28,7786.51,27.826
"2021-09-19 04:00:00",170,12.77,21.12,8481.53,7914.83,27.754
"2021-09-19 04:30:00",171,12.78,21.02,8711.14,8068.64,27.687
"2021-09-19 05:00:00",172,12.78,20.91,8814.06,8136.39,27.595
"2021-09-19 05:30:00",173,12.77,20.74,9010.68,8263.59,27.517
"2021-09-19 06:00:00",174,12.77,20.61,9297.46,8444.11,27.443
"2021-09-19 06:30:00",175,12.77,20.45,9736.07,8708.95,27.368
"2021-09-19 07:00:00",176,12.77,20.29,-0,8939.35,27.285
"2021-09-19 07:30:00",177,12.77,20.18,-0,9048.08,27.221
"2021-09-19 08:00:00",178,12.77,20.15,-0,9385.68,27.182
"2021-09-19 08:30:00",179,12.77,20.21,-0,9663.7,27.143
"2021-09-19 09:00:00",180,12.77,20.34,-0,9992.42,27.113
"2021-09-19 09:30:00",181,12.76,20.5,-0,10279.32,27.069
"2021-09-19 10:00:00",182,12.77,20.69,-0,10724.12,26.989
"2021-09-19 10:30:00",183,12.76,20.91,-0,11575.49,26.949
"2021-09-19 11:00:00",184,12.77,21.31,-0,11771.7,27.293
"2021-09-19 11:30:00",185,12.77,21.67,-0,11089.21,27.585
"2021-09-19 12:00:00",186,12.76,21.95,-0,10792.19,27.672
"2021-09-19 12:30:00",187,12.76,22.28,-0,10209.1,28.088
"2021-09-19 13:00:00",188,12.77,23.29,-0,9885.73,28.696
"2021-09-19 13:30:00",189,12.77,24.3,-0,9415.26,28.847
"2021-09-19 14:00:00",190,12.76,25.37,9791.06,8739.34,29.178
"2021-09-19 14:30:00",191,12.76,25.4,9156.18,8354.25,29.502
"2021-09-19 15:00:00",192,12.77,25.04,8413.93,7867.72,29.535
"2021-09-19 15:30:00",193,12.77,24.89,8224.62,7737.08,29.745
"2021-09-19 16:00:00",194,12.76,24.89,7952.18,7544.43,29.726
"2021-09-19 16:30:00",195,12.76,24.63,7472.12,7191.2,29.559
"2021-09-19 17:00:00",196,12.77,24.3,7835.43,7460.21,29.442
"2021-09-19 17:30:00",197,12.78,24.01,8447.86,7890.93,29.339
"2021-09-19 18:00:00",198,12.77,23.64,8473.86,7908.68,29.149
"2021-09-19 18:30:00",199,12.77,23.21,8459.21,7898.84,28.905
"2021-09-19 19:00:00",200,12.77,22.64,8923.38,8206.48,28.639
"2021-09-19 19:30:00",201,12.77,21.97,9426.29,8522.26,28.36
"2021-09-19 20:00:00",202,12.77,21.26,9639.06,8650.69,28.089
"2021-09-19 20:30:00",203,12.77,20.61,9847.39,8773.39,27.878
"2021-09-19 21:00:00",204,12.77,20.13,9989.06,8855.23,27.686
"2021-09-19 21:30:00",205,12.77,19.73,-0,9027.16,27.543
"2021-09-19 22:00:00",206,12.77,19.34,-0,9371.26,27.398
"2021-09-19 22:30:00",207,12.76,18.97,-0,9816.15,27.277
"2021-09-19 23:00:00",208,12.76,18.61,-0,10090.47,27.127
"2021-09-19 23:30:00",209,12.76,18.3,-0,10336,27.016
"2021-09-20 00:00:00",210,12.76,17.99,-0,10623.5,26.906
"2021-09-20 00:30:00",211,12.76,17.72,-0,11246.54,26.787
"2021-09-20 01:00:00",212,12.75,17.44,-0,11817.34,26.693
"2021-09-20 01:30:00",213,12.76,17.19,-0,12864.54,26.604
"2021-09-20 02:00:00",214,12.76,16.96,-0,13999.79,26.498
"2021-09-20 02:30:00",215,12.74,16.76,-0,14636.22,26.408
"2021-09-20 03:00:00",216,12.74,16.56,-0,14607.47,26.285
"2021-09-20 03:30:00",217,12.75,16.36,-0,14516.68,26.195
"2021-09-20 04:00:00",218,12.75,16.17,-0,14343.46,26.094
"2021-09-20 04:30:00",219,12.74,15.97,-0,14392.4,26.002
"2021-09-20 05:00:00",220,12.74,15.82,-0,14667.24,25.925
"2021-09-20 05:30:00",221,12.74,15.65,-0,15101.23,25.838
"2021-09-20 06:00:00",222,12.74,15.51,-0,15351.01,25.731
"2021-09-20 06:30:00",223,12.74,15.34,-0,15510.04,25.632
"2021-09-20 07:00:00",224,12.73,15.14,-0,15729.1,25.546
"2021-09-20 07:30:00",225,12.74,15.09,-0,15951.02,25.456
"2021-09-20 08:00:00",226,12.74,15.17,-0,16006.44,25.413
"2021-09-20 08:30:00",227,12.74,15.48,-0,16224.54,25.383
"2021-09-20 09:00:00",228,12.73,16.02,-0,16480.21,25.405
"2021-09-20 09:30:00",229,12.73,16.81,-0,16701.97,25.425
"2021-09-20 10:00:00",230,12.74,17.77,-0,16977.78,25.45
"2021-09-20 10:30:00",231,12.74,18.87,-0,17571.53,25.695
"2021-09-20 11:00:00",232,12.74,20.05,-0,18089.6,25.973
"2021-09-20 11:30:00",233,12.74,21.02,-0,18175.07,26.376
"2021-09-20 12:00:00",234,12.74,21.72,-0,17849.71,26.702
"2021-09-20 12:30:00",235,12.75,22.03,-0,17620.22,27.046
"2021-09-20 13:00:00",236,12.74,22.61,-0,17704.37,27.155
"2021-09-20 13:30:00",237,12.74,23.41,-0,17262.52,27.833
"2021-09-20 14:00:00",238,12.75,23.9,-0,16786.18,27.863
"2021-09-20 14:30:00",239,12.75,23.81,-0,16270.66,28.102
"2021-09-20 15:00:00",240,12.75,23.61,-0,15801.77,28.352
"2021-09-20 15:30:00",241,12.75,23.47,-0,15355.44,28.394
"2021-09-20 16:00:00",242,12.76,23.52,-0,14982.71,28.374
"2021-09-20 16:30:00",243,12.75,23.27,-0,14449.12,28.255
"2021-09-20 17:00:00",244,12.76,23.04,-0,14326.89,28.184
"2021-09-20 17:30:00",245,12.76,22.78,-0,14133.48,27.978
"2021-09-20 18:00:00",246,12.75,22.39,-0,13726.14,27.695
"2021-09-20 18:30:00",247,12.76,22.06,-0,13261.84,27.46
"2021-09-20 19:00:00",248,12.76,21.62,-0,12959.81,27.246
"2021-09-20 19:30:00",249,12.76,21.1,-0,12985.81,27.015
"2021-09-20 20:00:00",250,12.75,20.48,-0,13464.45,26.769
"2021-09-20 20:30:00",251,12.76,19.89,-0,13790.3,26.56
"2021-09-20 21:00:00",252,12.76,19.31,-0,14059.5,26.382
"2021-09-20 21:30:00",253,12.75,18.84,-0,14276.1,26.212
"2021-09-20 22:00:00",254,12.74,18.43,-0,14452.62,26.067
"2021-09-20 22:30:00",255,12.75,18.1,-0,14624.9,25.936
"2021-09-20 23:00:00",256,12.75,17.84,-0,14783.89,25.845
"2021-09-20 23:30:00",257,12.74,17.64,-0,14879.2,25.732
"2021-09-21 00:00:00",258,12.74,17.46,-0,15004.27,25.646
"2021-09-21 00:30:00",259,12.74,17.29,-0,15233.16,25.567
"2021-09-21 01:00:00",260,12.74,17.09,-0,15433.37,25.486
"2021-09-21 01:30:00",261,12.74,16.94,-0,15627.26,25.43
"2021-09-21 02:00:00",262,12.74,16.84,-0,15901.26,25.364
"2021-09-21 02:30:00",263,12.73,16.79,-0,16173.53,25.335
"2021-09-21 03:00:00",264,12.74,16.84,-0,16384.15,25.282
"2021-09-21 03:30:00",265,12.74,16.81,-0,16541.51,25.22
"2021-09-21 04:00:00",266,12.73,16.79,-0,16552.71,25.172
"2021-09-21 04:30:00",267,12.73,16.81,-0,16619.74,25.128
"2021-09-21 05:00:00",268,12.74,16.81,-0,16584.95,25.086
"2021-09-21 05:30:00",269,12.74,16.89,-0,16544.73,25.048
"2021-09-21 06:00:00",270,12.73,16.91,-0,16532.72,25.009
"2021-09-21 06:30:00",271,12.73,16.91,-0,16596.77,24.97
"2021-09-21 07:00:00",272,12.74,16.96,-0,16723.49,24.934
"2021-09-21 07:30:00",273,12.74,17.04,-0,16715.18,24.896
"2021-09-21 08:00:00",274,12.73,17.19,-0,16675.84,24.886
"2021-09-21 08:30:00",275,12.73,17.44,-0,16639.81,24.909
"2021-09-21 09:00:00",276,12.73,18.05,-0,16667.2,24.968
"2021-09-21 09:30:00",277,12.73,18.82,-0,16613.4,25.039
"2021-09-21 10:00:00",278,12.73,19.57,-0,16693.6,25.119
"2021-09-21 10:30:00",279,12.73,20.4,-0,16834,25.278
"2021-09-21 11:00:00",280,12.73,21.23,-0,16987.77,25.645
"2021-09-21 11:30:00",281,12.74,22.14,-0,17004.05,26.024
"2021-09-21 12:00:00",282,12.74,22.92,-0,16913.88,26.327
"2021-09-21 12:30:00",283,12.74,23.75,-0,16750.22,26.755
"2021-09-21 13:00:00",284,12.74,24.66,-0,16358.37,27.487
"2021-09-21 13:30:00",285,12.75,25.28,-0,15471.05,27.821
"2021-09-21 14:00:00",286,12.75,25.49,-0,15213.16,28.021
"2021-09-21 14:30:00",287,12.74,25.67,-0,14850.24,28.482
"2021-09-21 15:00:00",288,12.74,25.61,-0,14330.06,28.745
"2021-09-21 15:30:00",289,12.75,25.46,-0,13501.18,28.669
"2021-09-21 16:00:00",290,12.75,25.37,-0,13016.44,28.758
"2021-09-21 16:30:00",291,12.75,25.07,-0,12766.1,28.72
"2021-09-21 17:00:00",292,12.75,24.78,-0,12402.72,28.623
"2021-09-21 17:30:00",293,12.75,24.45,-0,11735.69,28.501
"2021-09-21 18:00:00",294,12.75,24.19,-0,11359.1,28.291
"2021-09-21 18:30:00",295,12.75,23.78,-0,10989.13,28.129
"2021-09-21 19:00:00",296,12.75,23.38,-0,10894.92,27.954
"2021-09-21 19:30:00",297,12.76,22.95,-0,10830.52,27.772
"2021-09-21 20:00:00",298,12.76,22.64,-0,10887.73,27.593
"2021-09-21 20:30:00",299,12.75,22.39,-0,10904.51,27.428
"2021-09-21 21:00:00",300,12.75,22.14,-0,10926.5,27.283
"2021-09-21 21:30:00",301,12.74,21.86,-0,10954.34,27.138
"2021-09-21 22:00:00",302,12.75,21.56,-0,10889.84,27.003
"2021-09-21 22:30:00",303,12.75,21.29,-0,10905.72,26.856
"2021-09-21 23:00:00",304,12.74,21.02,-0,10848.56,26.726
"2021-09-21 23:30:00",305,12.74,20.85,-0,10842.76,26.615
"2021-09-22 00:00:00",306,12.75,20.69,-0,10905.98,26.512
"2021-09-22 00:30:00",307,12.75,20.58,-0,11167.82,26.409
"2021-09-22 01:00:00",308,12.74,20.53,-0,11125.88,26.348
"2021-09-22 01:30:00",309,12.74,20.53,-0,11105.07,26.293
"2021-09-22 02:00:00",310,12.74,20.56,-0,11136.63,26.24
"2021-09-22 02:30:00",311,12.74,20.56,-0,11208.26,26.186
"2021-09-22 03:00:00",312,12.74,20.56,-0,11229.2,26.14
"2021-09-22 03:30:00",313,12.74,20.58,-0,11352.28,26.107
"2021-09-22 04:00:00",314,12.74,20.58,-0,11471.39,26.055
"2021-09-22 04:30:00",315,12.74,20.58,-0,11534.15,26.016
"2021-09-22 05:00:00",316,12.74,20.56,-0,11573.98,25.974
"2021-09-22 05:30:00",317,12.73,20.56,-0,11723.46,25.952
"2021-09-22 06:00:00",318,12.74,20.56,-0,11913.63,25.913
"2021-09-22 06:30:00",319,12.74,20.53,-0,11926.69,25.877
"2021-09-22 07:00:00",320,12.74,20.5,-0,11897.47,25.844
"2021-09-22 07:30:00",321,12.73,20.56,-0,11967.47,25.83
"2021-09-22 08:00:00",322,12.73,20.69,-0,12366.56,25.853
"2021-09-22 08:30:00",323,12.74,20.96,-0,12874.16,25.934
"2021-09-22 09:00:00",324,12.74,21.53,-0,13213.93,26.048
"2021-09-22 09:30:00",325,12.74,22.25,-0,13325.04,26.176
"2021-09-22 10:00:00",326,12.73,22.87,-0,13443.32,26.345
"2021-09-22 10:30:00",327,12.74,23.55,-0,13504.18,26.589
"2021-09-22 11:00:00",328,12.74,24.19,-0,13443.6,27.086
"2021-09-22 11:30:00",329,12.74,24.87,-0,13251.53,27.386
"2021-09-22 12:00:00",330,12.74,25.52,-0,13065.54,27.909
"2021-09-22 12:30:00",331,12.74,26.1,-0,12583.23,28.173
"2021-09-22 13:00:00",332,12.74,26.81,-0,12041.15,28.801
"2021-09-22 13:30:00",333,12.74,27.28,-0,11133.49,29.052
"2021-09-22 14:00:00",334,12.74,27.47,-0,10397.89,29.3
"2021-09-22 14:30:00",335,12.75,27.37,-0,9854.95,29.423
"2021-09-22 15:00:00",336,12.75,27.28,-0,9454.74,29.483
"2021-09-22 15:30:00",337,12.74,27.34,-0,9407.51,29.552
"2021-09-22 16:00:00",338,12.74,27.25,-0,9876.84,29.596
"2021-09-22 16:30:00",339,12.75,27.12,-0,10228.53,29.687
"2021-09-22 17:00:00",340,12.75,26.96,-0,10331.24,29.706
"2021-09-22 17:30:00",341,12.75,26.87,-0,10383.31,29.651
"2021-09-22 18:00:00",342,12.75,26.68,-0,10320.63,29.684
"2021-09-22 18:30:00",343,12.74,26.28,-0,10493.26,29.499
"2021-09-22 19:00:00",344,12.75,25.76,-0,10050.28,29.287
"2021-09-22 19:30:00",345,12.75,25.28,-0,9746.89,29.09
"2021-09-22 20:00:00",346,12.74,24.95,-0,9744.05,28.901
"2021-09-22 20:30:00",347,12.74,24.66,-0,9931.94,28.681
"2021-09-22 21:00:00",348,12.75,24.39,-0,10049.19,28.501
"2021-09-22 21:30:00",349,12.75,24.16,-0,10157.78,28.382
"2021-09-22 22:00:00",350,12.74,23.93,-0,10253.71,28.254
"2021-09-22 22:30:00",351,12.74,23.72,-0,10329.77,28.136
"2021-09-22 23:00:00",352,12.74,23.55,-0,10349.29,28.017
"2021-09-22 23:30:00",353,12.74,23.41,-0,10318.92,27.905
"2021-09-23 00:00:00",354,12.74,23.29,-0,10220.31,27.813
"2021-09-23 00:30:00",355,12.74,23.18,-0,10122.06,27.733
"2021-09-23 01:00:00",356,12.74,23.12,-0,9838.27,27.674
"2021-09-23 01:30:00",357,12.74,23.07,-0,9706.8,27.613
"2021-09-23 02:00:00",358,12.73,23.04,-0,9714.5,27.551
"2021-09-23 02:30:00",359,12.73,23.12,-0,9753.87,27.536
"2021-09-23 03:00:00",360,12.74,23.21,-0,9845.86,27.509
"2021-09-23 03:30:00",361,12.74,23.27,-0,9886.13,27.481
"2021-09-23 04:00:00",362,12.73,23.29,-0,9854.91,27.459
"2021-09-23 04:30:00",363,12.73,23.35,-0,9740.94,27.423
"2021-09-23 05:00:00",364,12.73,23.38,-0,9608.83,27.416
"2021-09-23 05:30:00",365,12.74,23.38,-0,9522.16,27.384
"2021-09-23 06:00:00",366,12.74,23.41,-0,9430.32,27.36
"2021-09-23 06:30:00",367,12.73,23.44,-0,9308.46,27.344
"2021-09-23 07:00:00",368,12.73,23.5,-0,9303.95,27.318
"2021-09-23 07:30:00",369,12.74,23.61,-0,9331.53,27.349
"2021-09-23 08:00:00",370,12.74,23.84,-0,9253.9,27.423
"2021-09-23 08:30:00",371,12.73,24.19,-0,9180.14,27.554
"2021-09-23 09:00:00",372,12.73,24.66,-0,9160.64,27.768
"2021-09-23 09:30:00",373,12.74,24.92,-0,9115.13,27.865
"2021-09-23 10:00:00",374,12.74,25.13,-0,9275.2,27.915
"2021-09-23 10:30:00",375,12.73,24.98,-0,9474.38,27.935
